DATE,CA,TX,NY,FL,IL,PA,OH,MI,GA,NC,NJ,VA,WA,MA,IN,AZ,TN,MO,MD,WI,MN,CO,AL,SC,LA,KY,OR,OK,CT,IA,MS,AR,KS,UT,NV,NM,WV,NE,ID,HI,ME,NH,RI,MT,DE,SD,AK,ND,VT,DC,WY
1996-01-31,162529,99005,123478,104530,128463,97902,93894,89868,105018,112577,168124,122269,141374,160685,116674,112693,93449,83776,155502,97708,106314,145269,85933,100179,85528,75950,132554,65172,158882,79643,74140,69986,77784,165465,151227,,62151,86116,118196,269498,98857,111661,128863,,134411,103567,111474,,120774,191159,
1996-02-29,162305,99031,123196,104636,128453,97840,94009,90191,105178,112796,167804,122216,141382,160685,116656,113015,93632,83984,155502,97849,106136,145746,86039,100291,85852,76106,133040,65270,158678,79809,74139,70018,77934,165601,151190,,62157,86404,118016,268384,98507,111394,128970,,134353,103882,111857,,120592,190179,
1996-03-31,162166,99063,123029,104760,128366,97777,94160,90500,105341,112993,167571,122225,141410,160811,116181,113383,93856,84147,155504,97954,106061,146139,86125,100330,86096,76236,133465,65426,158925,79961,74215,70097,78093,165883,151328,,62160,86478,117944,267394,98292,111212,128972,,134295,103679,112189,,120345,189336,
1996-04-30,161896,99191,122776,104991,128431,97677,94476,91161,105695,113400,167133,122206,141480,161031,115771,114054,94293,84471,155562,98254,105983,146935,86247,100538,86606,76532,134320,65687,159093,80262,74308,70208,78360,166375,151462,,62172,86876,117769,265328,97801,110939,128992,,134153,103445,112889,,119897,187925,
1996-05-31,161722,99334,122674,105213,128349,97583,94802,91814,106049,113800,166792,122162,141616,161270,115850,114682,94750,84734,155708,98609,106060,147632,86314,100692,86902,76791,135152,65959,159218,80491,74459,70337,78538,167034,151719,,62176,87143,117646,262954,97438,110991,128832,,134278,102915,113383,,119435,186833,
1996-06-30,161589,99453,122606,105457,128468,97541,95102,92481,106424,114254,166487,122105,141958,161518,116310,115250,95219,84974,155828,99105,106292,148324,86419,100954,87173,77055,135995,66161,159279,80695,74593,70454,78710,167560,151873,,62188,87583,117491,260294,97068,111232,128564,,134556,102679,113840,,118897,186039,
1996-07-31,161514,99545,122524,105690,128492,97510,95364,93086,106773,114734,166270,122062,142358,161891,116682,115773,95704,85188,155892,99601,106546,148994,86566,101109,87340,77317,136842,66366,159355,80849,74779,70609,78851,168060,152116,,62191,87931,117351,257683,96804,111593,128317,,135035,102452,114183,,118343,185348,
1996-08-31,161519,99661,122445,105898,129354,97555,95658,93644,107124,115204,166210,122130,142843,162396,116378,116252,96173,85423,155857,100078,106936,149688,86784,101304,87656,77591,137650,66539,159591,81024,74920,70779,79058,168459,152562,,62172,88316,117319,255924,96625,111879,128245,,135426,102199,114433,,117873,184722,
1996-09-30,161568,99814,122401,106045,130450,97587,95962,94161,107468,115614,166251,122251,143243,162879,116158,116711,96579,85687,155915,100485,107278,150353,86914,101397,87944,77860,138418,66698,159459,81182,75046,70943,79225,168899,153043,,62100,88683,117324,254575,96553,112131,128430,,135913,101964,114561,,117561,184344,
1996-10-31,161743,99991,122407,106200,132255,97675,96271,94672,107843,116102,166353,122426,143729,163464,115115,117172,96948,86018,156010,100896,107702,150986,87042,101613,88334,78096,139268,66845,159316,81455,75327,71125,79455,169323,153493,,62062,89125,117392,253270,96607,112413,128615,,136360,101677,114514,,117481,183806,
1996-11-30,161945,100209,122444,106372,132197,97778,96578,95236,108233,116646,166430,122566,144308,164024,114097,117603,97332,86341,156139,101330,108143,151603,87140,101848,88635,78403,140155,67033,159094,81813,75666,71283,79695,169858,153719,,62092,89682,117472,251735,96647,112735,128736,,136702,101713,114441,,117466,183602,
1996-12-31,162223,100447,122527,106583,131848,97915,96894,95847,108657,117227,166535,122712,144969,164628,112725,118004,97730,86638,156267,101766,108612,152217,87326,102148,89021,78726,141071,67275,159189,82235,76008,71485,79948,170388,154076,,62178,90181,117645,250474,96678,113178,128786,,136879,101593,114431,,117537,183339,
1997-01-31,162265,100466,122478,106617,130906,98016,97199,96493,109004,117796,166793,122796,145525,164747,111995,118354,98068,86863,156212,102172,109013,152820,87428,102449,89399,79041,141902,67470,158821,82426,76134,71695,80189,170827,154408,,62524,90677,117966,249674,97070,113623,128921,,137037,102887,114903,,118488,183297,
1997-02-28,162373,100461,122700,106711,131271,98124,97506,97084,109401,118352,167177,122961,146120,164978,111224,118738,98453,87018,156179,102531,109540,153321,87547,102783,89737,79274,142698,67681,158951,82500,76225,71994,80440,171169,154912,,62879,91043,118442,249006,97658,114255,128890,,137359,103702,115452,,119206,183712,
1997-03-31,162560,100443,122938,106814,131754,98287,97794,97702,109825,118958,167655,123077,146784,165142,111035,119042,98849,87202,156120,102956,110142,153866,87664,103186,89998,79509,143574,67824,158435,82473,76340,72249,80681,171363,155210,,63274,91555,118857,247925,98265,114940,128934,,137857,104635,115948,,119899,184412,
1997-04-30,163038,100575,123248,107139,131997,98509,98088,98249,110330,119524,168053,123269,147695,165689,110557,119377,99315,87424,156210,103306,110807,154507,88012,103503,90255,79724,144470,68045,158483,82516,76544,72559,80941,171675,155725,,63464,91779,119218,246625,98602,115606,128969,,138490,104426,115925,,119575,185208,
1997-05-31,163603,100663,123350,107440,132475,98783,98392,98829,110805,120056,168498,123421,148627,166320,110436,119726,99720,87730,156217,103681,111310,155247,88453,103873,90637,80003,145306,68245,158414,82648,76770,72796,81295,172030,156101,,63613,92090,119630,245657,98876,115998,129397,,138852,104906,116219,,119583,185489,
1997-06-30,164199,100792,123482,107711,132634,99036,98732,99326,111235,120493,169018,123601,149280,167027,110499,120074,100072,88047,156328,103883,111713,155933,88889,104193,91034,80293,146054,68541,158550,82803,76944,73002,81623,172585,156460,,63736,92283,120208,245254,99241,116200,129901,,139008,105160,116195,,119830,185632,
